year,volume
1871.0,1120.0
1872.0,1160.0
1873.0,963.0
1874.0,1210.0
1875.0,1160.0
1876.0,1160.0
1877.0,813.0
1878.0,1230.0
1879.0,1370.0
1880.0,1140.0
1881.0,995.0
1882.0,935.0
1883.0,1110.0
1884.0,994.0
1885.0,1020.0
1886.0,960.0
1887.0,1180.0
1888.0,799.0
1889.0,958.0
1890.0,1140.0
1891.0,1100.0
1892.0,1210.0
1893.0,1150.0
1894.0,1250.0
1895.0,1260.0
1896.0,1220.0
1897.0,1030.0
1898.0,1100.0
1899.0,774.0
1900.0,840.0
1901.0,874.0
1902.0,694.0
1903.0,940.0
1904.0,833.0
1905.0,701.0
1906.0,916.0
1907.0,692.0
1908.0,1020.0
1909.0,1050.0
1910.0,969.0
1911.0,831.0
1912.0,726.0
1913.0,456.0
1914.0,824.0
1915.0,702.0
1916.0,1120.0
1917.0,1100.0
1918.0,832.0
1919.0,764.0
1920.0,821.0
1921.0,768.0
1922.0,845.0
1923.0,864.0
1924.0,862.0
1925.0,698.0
1926.0,845.0
1927.0,744.0
1928.0,796.0
1929.0,1040.0
1930.0,759.0
1931.0,781.0
1932.0,865.0
1933.0,845.0
1934.0,944.0
1935.0,984.0
1936.0,897.0
1937.0,822.0
1938.0,1010.0
1939.0,771.0
1940.0,676.0
1941.0,649.0
1942.0,846.0
1943.0,812.0
1944.0,742.0
1945.0,801.0
1946.0,1040.0
1947.0,860.0
1948.0,874.0
1949.0,848.0
1950.0,890.0
1951.0,744.0
1952.0,749.0
1953.0,838.0
1954.0,1050.0
1955.0,918.0
1956.0,986.0
1957.0,797.0
1958.0,923.0
1959.0,975.0
1960.0,815.0
1961.0,1020.0
1962.0,906.0
1963.0,901.0
1964.0,1170.0
1965.0,912.0
1966.0,746.0
1967.0,919.0
1968.0,718.0
1969.0,714.0
1970.0,740.0
