case_id,planned,actual,completed
0,12,16.44682715089223,True
1,12,24.0,False
2,12,15.418014096490026,True
3,12,16.725951282158245,True
4,12,24.0,False
5,12,7.63747683346473,True
6,12,13.322549688083491,True
7,12,7.034972721296005,True
8,12,10.235401409483904,True
9,12,20.563111342389806,True
10,12,24.0,False
11,12,21.783761847888606,True
12,12,24.0,False
13,12,24.0,False
14,12,24.0,False
15,12,24.0,False
16,12,8.395272558817988,True
17,12,7.829232423274313,True
18,12,21.578994314790105,True
19,12,17.606307564966958,True
20,12,24.0,False
21,12,14.859734963673434,True
22,12,16.895371417000973,True
23,12,15.758755206259487,True
24,12,23.908996521365115,True
25,12,13.929256197925325,True
26,12,24.0,False
27,12,15.063884608113508,True
28,12,14.79981975622635,True
29,12,7.575517344342311,True
30,12,15.104377045678433,True
31,12,17.898763125588168,True
32,12,19.08358466072847,True
33,12,6.859587050597102,True
34,12,20.830159128681103,True
35,12,9.754369614778254,True
36,12,24.0,False
37,12,21.593405598217824,True
38,12,17.51356309485585,True
39,12,23.652235062492473,True
40,12,7.65248529326427,True
41,12,11.092926127162984,True
42,12,10.898987440516368,True
43,12,16.507475574704575,True
44,12,22.72675715092732,True
45,12,5.33566708352834,True
46,12,20.32927013513523,True
47,12,6.651963458332357,True
48,12,9.774343941779174,True
49,12,24.0,False
50,12,24.0,False
51,12,10.68668206677487,True
52,12,12.490774501146387,True
53,12,24.0,False
54,12,19.086438159968957,True
55,12,16.78470297132486,True
56,12,14.397751986360543,True
57,12,24.0,False
58,12,21.58142164898198,True
59,12,18.398651117448424,True
