event_id,probability,outcome
e0,0.4978058194909335,0
e1,0.47735096729525917,0
e2,0.5189402024918904,0
e3,0.6374255959445483,0
e4,0.40730719127960024,0
e5,0.6795386095058675,1
e6,0.1926161455420795,0
e7,0.20514877695052658,0
e8,0.5881492300575905,1
e9,0.43352463580493455,0
e10,0.40613037367325505,1
e11,0.38835899730854495,0
e12,0.14645023046841496,0
e13,0.2880702506351792,0
e14,0.6966629804920708,0
e15,0.45844433373236354,1
e16,0.7584415535614503,1
e17,0.7306561093523676,1
e18,0.5267910738869918,0
e19,0.48510125420464983,0
e20,0.1780615797872426,0
e21,0.19293480090291243,0
e22,0.22649072567406492,0
e23,0.7665151399080161,1
e24,0.36438979129854554,0
e25,0.20205123885052806,1
e26,0.4908089562097514,1
e27,0.772200499290279,1
e28,0.39219153895798436,0
e29,0.4952220032256783,1
e30,0.4619143011482664,0
e31,0.17629926196849405,0
e32,0.6088771288421302,1
e33,0.14503128829354842,0
e34,0.1731348988140672,0
e35,0.48467407818430863,0
e36,0.6215126693124038,0
e37,0.8930553196704513,1
e38,0.4190105646076081,0
e39,0.14596984071681432,0
e40,0.3087608967768338,0
e41,0.7718427700935545,0
e42,0.7898490934760095,1
e43,0.13575658560827364,0
e44,0.6123186225495219,1
e45,0.21395692470853922,0
e46,0.1783872315508669,0
e47,0.809379087941198,1
e48,0.22010934105512608,0
e49,0.24314920466877554,0
e50,0.3867417773333552,0
e51,0.4352719129078838,1
e52,0.7826856352618878,1
e53,0.2243810150294996,0
e54,0.44651380389977935,1
e55,0.7992231199117735,1
e56,0.6086236463537429,1
e57,0.872988005742254,1
e58,0.5708911548196435,0
e59,0.10609444533039714,0
e60,0.3458875903278048,0
e61,0.5580296984898889,1
e62,0.26627681256400815,1
e63,0.5596725407001877,1
e64,0.29802683406414054,1
e65,0.49089481409767216,0
e66,0.7100647011912461,0
e67,0.7253935219571783,1
e68,0.5239273894671829,0
e69,0.27131590490231394,0
e70,0.7538673030128659,0
e71,0.2860447339492672,0
e72,0.18191530364755926,0
e73,0.6118323487837459,0
e74,0.6105025240781665,1
e75,0.3681398827132223,0
e76,0.8752525319185929,1
e77,0.7768299234156971,1
e78,0.42522106753981553,0
e79,0.37270748874868387,1
e80,0.17446840110359407,0
e81,0.5049199365560502,0
e82,0.1500153950845344,0
e83,0.7895537485357669,1
e84,0.626427269459832,0
e85,0.675844425423143,1
e86,0.8068998140952581,1
e87,0.34434504940858446,0
e88,0.8748611030537967,1
e89,0.15721183560352783,0
e90,0.8477354938850294,1
e91,0.7737142103327217,1
e92,0.4830436392778024,1
e93,0.21763800508021813,0
e94,0.5632190578231538,1
e95,0.4942984135762946,1
e96,0.772971184230599,1
e97,0.27402197695280633,0
e98,0.14624357117478395,0
e99,0.7814090670301406,1
e100,0.8353276757978009,1
e101,0.19746009141074589,0
e102,0.48261532760246306,1
e103,0.18350413057934506,0
e104,0.4466602504443622,0
e105,0.7124421568596517,1
e106,0.8916757580142969,1
e107,0.11382598790474292,0
e108,0.22819333311645196,1
e109,0.7975681546775157,1
e110,0.19818909478333585,0
e111,0.16108480295014785,0
e112,0.46047434702857637,1
e113,0.8818578525996421,1
e114,0.7018383046299941,0
e115,0.8967058918357442,0
e116,0.6065410769009758,1
e117,0.551319229146544,0
e118,0.4734539861847008,1
e119,0.30612872271660274,0
e120,0.6888673279749965,0
e121,0.19221878883539825,0
e122,0.5228825390879005,1
e123,0.49243102523205123,1
e124,0.4281072343797685,0
e125,0.37815437600669743,0
e126,0.6115350449423924,0
e127,0.7641402420597202,1
e128,0.49101328366551933,0
e129,0.4427882549976257,1
e130,0.7641366850325428,1
e131,0.5657456033606677,1
e132,0.16537263346458897,1
e133,0.5560426861753119,1
e134,0.8918440679628481,1
e135,0.4170217944089708,0
e136,0.3293239812257694,1
e137,0.387671166028857,0
e138,0.10611031868561654,0
e139,0.701594956062419,0
e140,0.6053527889301229,0
e141,0.4301801457393774,0
e142,0.394551465878045,1
e143,0.2859345030108429,0
e144,0.6513153965905497,0
e145,0.4711440229562742,0
e146,0.4576266394368098,0
e147,0.2553757670307615,1
e148,0.5982561806912802,0
e149,0.14195145623078975,0
e150,0.4147594540101438,0
e151,0.47757496536863714,1
e152,0.575512582085037,0
e153,0.5232989977027589,1
e154,0.6133414341274253,1
e155,0.8236895681099035,1
e156,0.6974070609226054,0
e157,0.3895344360139503,1
e158,0.3910132008017924,1
e159,0.5871933641828496,0
e160,0.8891126033396728,1
e161,0.4505881858238918,1
e162,0.5626891958152441,1
e163,0.7348510714183015,1
e164,0.3126912532745558,1
e165,0.45615695380395205,0
e166,0.7533361844373161,1
e167,0.6971057299991359,1
e168,0.6493453821600477,1
e169,0.5435229278853265,1
e170,0.43879994048502,0
e171,0.5740127358753252,1
e172,0.6478550344508175,1
e173,0.4495424825847756,0
e174,0.2806339188683105,0
e175,0.37949689623510247,0
e176,0.7983219721995567,1
e177,0.4741046488749272,1
e178,0.2712463219228886,0
e179,0.43062367238599697,1
e180,0.8573617089424561,1
e181,0.613236081713496,1
e182,0.8698861039127929,1
e183,0.6011694523463625,0
e184,0.19850460850674623,0
e185,0.5412246289142291,0
e186,0.25914116106095886,0
e187,0.31884152008553923,1
e188,0.6940040616447933,0
e189,0.5653578956704843,0
e190,0.14893769240615856,0
e191,0.37928850963012517,0
e192,0.6358941518399193,1
e193,0.11840460714426443,0
e194,0.7620666924881044,1
e195,0.7161710392059649,1
e196,0.6459953325507597,1
e197,0.7903335744301128,1
e198,0.4479584758121993,0
e199,0.5049582047086622,0
