timestamp,target
2019-01-01,197.0
2019-02-01,214.0
2019-03-01,219.0
2019-04-01,232.0
2019-05-01,222.0
2019-06-01,224.0
2019-07-01,205.0
2019-08-01,193.0
2019-09-01,179.0
2019-10-01,184.0
2019-11-01,188.0
2019-12-01,200.0
2020-01-01,199.0
2020-02-01,215.0
2020-03-01,220.0
2020-04-01,231.0
2020-05-01,230.0
2020-06-01,216.0
2020-07-01,211.0
2020-08-01,191.0
2020-09-01,192.0
2020-10-01,191.0
2020-11-01,201.0
2020-12-01,201.0
2021-01-01,212.0
2021-02-01,231.0
2021-03-01,242.0
2021-04-01,244.0
2021-05-01,224.0
2021-06-01,222.0
2021-07-01,213.0
2021-08-01,214.0
2021-09-01,199.0
2021-10-01,185.0
2021-11-01,201.0
2021-12-01,201.0
2022-01-01,226.0
2022-02-01,223.0
2022-03-01,243.0
2022-04-01,250.0
2022-05-01,242.0
2022-06-01,237.0
2022-07-01,205.0
2022-08-01,225.0
2022-09-01,208.0
2022-10-01,206.0
2022-11-01,205.0
2022-12-01,201.0
2023-01-01,230.0
2023-02-01,246.0
2023-03-01,251.0
2023-04-01,249.0
2023-05-01,239.0
2023-06-01,242.0
2023-07-01,227.0
2023-08-01,231.0
2023-09-01,201.0
2023-10-01,201.0
2023-11-01,214.0
2023-12-01,221.0
2024-01-01,232.0
2024-02-01,239.0
2024-03-01,251.0
2024-04-01,252.0
2024-05-01,254.0
2024-06-01,262.0
2024-07-01,248.0
2024-08-01,230.0
2024-09-01,236.0
2024-10-01,221.0
2024-11-01,222.0
2024-12-01,225.0
2025-01-01,254.0
2025-02-01,250.0
2025-03-01,267.0
2025-04-01,270.0
2025-05-01,264.0
2025-06-01,254.0
2025-07-01,226.0
2025-08-01,234.0
2025-09-01,221.0
2025-10-01,238.0
2025-11-01,210.0
2025-12-01,236.0
