event_id,probability,outcome,baseline
e0,0.4978058194909335,0,0.5
e1,0.47735096729525917,0,0.5
e2,0.5189402024918904,0,0.5
e3,0.6374255959445483,0,0.5
e4,0.40730719127960024,0,0.5
e5,0.6795386095058675,1,0.5
e6,0.1926161455420795,0,0.5
e7,0.20514877695052658,0,0.5
e8,0.5881492300575905,1,0.5
e9,0.43352463580493455,0,0.5
e10,0.40613037367325505,1,0.5
e11,0.38835899730854495,0,0.5
e12,0.14645023046841496,0,0.5
e13,0.2880702506351792,0,0.5
e14,0.6966629804920708,0,0.5
e15,0.45844433373236354,1,0.5
e16,0.7584415535614503,1,0.5
e17,0.7306561093523676,1,0.5
e18,0.5267910738869918,0,0.5
e19,0.48510125420464983,0,0.5
e20,0.1780615797872426,0,0.5
e21,0.19293480090291243,0,0.5
e22,0.22649072567406492,0,0.5
e23,0.7665151399080161,1,0.5
e24,0.36438979129854554,0,0.5
e25,0.20205123885052806,1,0.5
e26,0.4908089562097514,1,0.5
e27,0.772200499290279,1,0.5
e28,0.39219153895798436,0,0.5
e29,0.4952220032256783,1,0.5
e30,0.4619143011482664,0,0.5
e31,0.17629926196849405,0,0.5
e32,0.6088771288421302,1,0.5
e33,0.14503128829354842,0,0.5
e34,0.1731348988140672,0,0.5
e35,0.48467407818430863,0,0.5
e36,0.6215126693124038,0,0.5
e37,0.8930553196704513,1,0.5
e38,0.4190105646076081,0,0.5
e39,0.14596984071681432,0,0.5
e40,0.3087608967768338,0,0.5
e41,0.7718427700935545,0,0.5
e42,0.7898490934760095,1,0.5
e43,0.13575658560827364,0,0.5
e44,0.6123186225495219,1,0.5
e45,0.21395692470853922,0,0.5
e46,0.1783872315508669,0,0.5
e47,0.809379087941198,1,0.5
e48,0.22010934105512608,0,0.5
e49,0.24314920466877554,0,0.5
e50,0.3867417773333552,0,0.5
e51,0.4352719129078838,1,0.5
e52,0.7826856352618878,1,0.5
e53,0.2243810150294996,0,0.5
e54,0.44651380389977935,1,0.5
e55,0.7992231199117735,1,0.5
e56,0.6086236463537429,1,0.5
e57,0.872988005742254,1,0.5
e58,0.5708911548196435,0,0.5
e59,0.10609444533039714,0,0.5
e60,0.3458875903278048,0,0.5
e61,0.5580296984898889,1,0.5
e62,0.26627681256400815,1,0.5
e63,0.5596725407001877,1,0.5
e64,0.29802683406414054,1,0.5
e65,0.49089481409767216,0,0.5
e66,0.7100647011912461,0,0.5
e67,0.7253935219571783,1,0.5
e68,0.5239273894671829,0,0.5
e69,0.27131590490231394,0,0.5
e70,0.7538673030128659,0,0.5
e71,0.2860447339492672,0,0.5
e72,0.18191530364755926,0,0.5
e73,0.6118323487837459,0,0.5
e74,0.6105025240781665,1,0.5
e75,0.3681398827132223,0,0.5
e76,0.8752525319185929,1,0.5
e77,0.7768299234156971,1,0.5
e78,0.42522106753981553,0,0.5
e79,0.37270748874868387,1,0.5
e80,0.17446840110359407,0,0.5
e81,0.5049199365560502,0,0.5
e82,0.1500153950845344,0,0.5
e83,0.7895537485357669,1,0.5
e84,0.626427269459832,0,0.5
e85,0.675844425423143,1,0.5
e86,0.8068998140952581,1,0.5
e87,0.34434504940858446,0,0.5
e88,0.8748611030537967,1,0.5
e89,0.15721183560352783,0,0.5
e90,0.8477354938850294,1,0.5
e91,0.7737142103327217,1,0.5
e92,0.4830436392778024,1,0.5
e93,0.21763800508021813,0,0.5
e94,0.5632190578231538,1,0.5
e95,0.4942984135762946,1,0.5
e96,0.772971184230599,1,0.5
e97,0.27402197695280633,0,0.5
e98,0.14624357117478395,0,0.5
e99,0.7814090670301406,1,0.5
e100,0.8353276757978009,1,0.5
e101,0.19746009141074589,0,0.5
e102,0.48261532760246306,1,0.5
e103,0.18350413057934506,0,0.5
e104,0.4466602504443622,0,0.5
e105,0.7124421568596517,1,0.5
e106,0.8916757580142969,1,0.5
e107,0.11382598790474292,0,0.5
