series_id,timestamp,target,promo,price
item-0,2025-01-06,50.9,1,8
item-0,2025-01-07,41.34,0,10
item-0,2025-01-08,42.11,0,10
item-0,2025-01-09,43.83,0,10
item-0,2025-01-10,40.4,0,10
item-0,2025-01-11,32.84,0,10
item-0,2025-01-12,37.15,0,10
item-0,2025-01-13,41.92,0,10
item-0,2025-01-14,43.32,0,10
item-0,2025-01-15,44.15,0,10
item-0,2025-01-16,44.59,0,10
item-0,2025-01-17,39.48,0,10
item-0,2025-01-18,44.01,1,8
item-0,2025-01-19,36.69,0,10
item-0,2025-01-20,39.87,0,10
item-0,2025-01-21,44.31,0,10
item-0,2025-01-22,57.07,1,8
item-0,2025-01-23,45.3,0,10
item-0,2025-01-24,37.75,0,10
item-0,2025-01-25,40.77,1,8
item-0,2025-01-26,31.64,0,10
item-0,2025-01-27,50.04,1,8
item-0,2025-01-28,44.06,0,10
item-0,2025-01-29,44.08,0,10
item-0,2025-01-30,46.65,0,10
item-0,2025-01-31,40.06,0,10
item-0,2025-02-01,34.42,0,10
item-0,2025-02-02,35.82,0,10
item-0,2025-02-03,40.92,0,10
item-0,2025-02-04,47.77,0,10
item-0,2025-02-05,44.82,0,10
item-0,2025-02-06,45.08,0,10
item-0,2025-02-07,39.98,0,10
item-0,2025-02-08,31.89,0,10
item-0,2025-02-09,37.04,0,10
item-0,2025-02-10,43.09,0,10
item-0,2025-02-11,45.14,0,10
item-0,2025-02-12,44.69,0,10
item-0,2025-02-13,46.4,0,10
item-0,2025-02-14,40.17,0,10
item-0,2025-02-15,32.69,0,10
item-0,2025-02-16,38.22,0,10
item-0,2025-02-17,44.58,0,10
item-0,2025-02-18,54.97,1,8
item-0,2025-02-19,46.07,0,10
item-0,2025-02-20,44.61,0,10
item-0,2025-02-21,37.41,0,10
item-0,2025-02-22,30.71,0,10
item-0,2025-02-23,37.49,0,10
item-0,2025-02-24,46.28,0,10
item-0,2025-02-25,46.37,0,10
item-0,2025-02-26,43.98,0,10
item-0,2025-02-27,54.53,1,8
item-0,2025-02-28,40.64,0,10
item-0,2025-03-01,33.97,0,10
item-0,2025-03-02,38.19,0,10
item-0,2025-03-03,43.24,0,10
item-0,2025-03-04,47.01,0,10
item-0,2025-03-05,55.13,1,8
item-0,2025-03-06,45.11,0,10
item-0,2025-03-07,40.04,0,10
item-0,2025-03-08,32.17,0,10
item-0,2025-03-09,35.97,0,10
item-0,2025-03-10,43.9,0,10
item-0,2025-03-11,58.01,1,8
item-0,2025-03-12,46.82,0,10
item-0,2025-03-13,54.29,1,8
item-0,2025-03-14,41.1,0,10
item-0,2025-03-15,42.42,1,8
item-0,2025-03-16,38.73,0,10
item-0,2025-03-17,42.4,0,10
item-0,2025-03-18,45.02,0,10
item-0,2025-03-19,46.15,0,10
item-0,2025-03-20,46.79,0,10
item-0,2025-03-21,42.6,0,10
item-0,2025-03-22,35.34,0,10
item-0,2025-03-23,34.84,0,10
item-0,2025-03-24,53.26,1,8
item-0,2025-03-25,50.3,0,10
item-0,2025-03-26,44.19,0,10
item-0,2025-03-27,56.2,1,8
item-0,2025-03-28,40.49,0,10
item-0,2025-03-29,43.27,1,8
item-0,2025-03-30,38.96,0,10
item-0,2025-03-31,45.59,0,10
item-0,2025-04-01,46.29,0,10
item-0,2025-04-02,46.29,0,10
item-0,2025-04-03,44.46,0,10
item-0,2025-04-04,52.27,1,8
item-0,2025-04-05,36.31,0,10
item-0,2025-04-06,38.45,0,10
item-0,2025-04-07,43.06,0,10
item-0,2025-04-08,48.07,0,10
item-0,2025-04-09,47.13,0,10
item-0,2025-04-10,56.26,1,8
item-0,2025-04-11,40.75,0,10
item-0,2025-04-12,46.37,1,8
item-0,2025-04-13,38.02,0,10
item-0,2025-04-14,53.8,1,8
item-0,2025-04-15,48.46,0,10
item-0,2025-04-16,45.9,0,10
item-0,2025-04-17,47.05,0,10
item-0,2025-04-18,51.51,1,8
item-0,2025-04-19,44.19,1,8
item-0,2025-04-20,38.49,0,10
item-0,2025-04-21,46.6,0,10
item-0,2025-04-22,46.58,0,10
item-0,2025-04-23,46.39,0,10
item-0,2025-04-24,45.28,0,10
item-0,2025-04-25,41.91,0,10
item-0,2025-04-26,35.76,0,10
item-0,2025-04-27,48.41,1,8
item-0,2025-04-28,46.74,0,10
item-0,2025-04-29,46.78,0,10
item-0,2025-04-30,54.39,1,8
item-0,2025-05-01,48.9,0,10
item-0,2025-05-02,52.09,1,8
item-0,2025-05-03,34.73,0,10
item-0,2025-05-04,41.36,0,10
item-0,2025-05-05,46.15,0,10
item-0,2025-05-06,46.0,0,10
item-0,2025-05-07,56.61,1,8
item-0,2025-05-08,47.03,0,10
item-0,2025-05-09,43.4,0,10
item-0,2025-05-10,44.21,1,8
item-0,2025-05-11,46.48,1,8
item-0,2025-05-12,47.18,0,10
item-0,2025-05-13,58.28,1,8
item-0,2025-05-14,58.89,1,8
item-0,2025-05-15,46.64,0,10
item-0,2025-05-16,42.68,0,10
item-0,2025-05-17,35.81,0,10
item-0,2025-05-18,37.26,0,10
item-0,2025-05-19,44.23,0,10
item-0,2025-05-20,55.45,1,8
item-0,2025-05-21,47.17,0,10
item-0,2025-05-22,50.85,0,10
item-0,2025-05-23,42.57,0,10
item-0,2025-05-24,37.61,0,10
item-0,2025-05-25,39.43,0,10
item-0,2025-05-26,44.26,0,10
item-0,2025-05-27,58.0,1,8
item-0,2025-05-28,49.2,0,10
item-0,2025-05-29,48.92,0,10
item-0,2025-05-30,42.77,0,10
item-0,2025-05-31,35.22,0,10
item-0,2025-06-01,38.15,0,10
item-0,2025-06-02,43.49,0,10
item-0,2025-06-03,45.97,0,10
item-0,2025-06-04,57.68,1,8
item-0,2025-06-05,49.46,0,10
item-0,2025-06-06,42.34,0,10
