node,timestamp,target
Total,2010-01-01,102.90560148879388
Total,2010-02-01,103.97501309365043
Total,2010-03-01,104.34057552297821
Total,2010-04-01,104.08567173700288
Total,2010-05-01,103.1586804013701
Total,2010-06-01,99.8310234338642
Total,2010-07-01,98.59763558463393
Total,2010-08-01,96.18365801025453
Total,2010-09-01,95.08555101998681
Total,2010-10-01,93.62945087939272
Total,2010-11-01,99.12893810487718
Total,2010-12-01,99.38797834584392
Total,2011-01-01,103.84667940688956
Total,2011-02-01,106.53021600179778
Total,2011-03-01,104.87002311580952
Total,2011-04-01,106.94640778139544
Total,2011-05-01,102.99328203608923
Total,2011-06-01,100.43968309265956
Total,2011-07-01,100.98532097643053
Total,2011-08-01,95.35522972257856
Total,2011-09-01,96.52600125491583
Total,2011-10-01,96.28291878106333
Total,2011-11-01,97.74321249896056
Total,2011-12-01,102.429266322373
Total,2012-01-01,107.10578805068619
Total,2012-02-01,107.40958238597204
Total,2012-03-01,109.6775215515068
Total,2012-04-01,108.90891733134461
Total,2012-05-01,107.05775965520377
Total,2012-06-01,102.84126731648769
Total,2012-07-01,98.81244066612966
Total,2012-08-01,96.72710211434901
Total,2012-09-01,96.38074000228522
Total,2012-10-01,99.12793136907084
Total,2012-11-01,101.29914979416148
Total,2012-12-01,105.00336128106625
Total,2013-01-01,109.05112438318439
Total,2013-02-01,108.43425897417805
Total,2013-03-01,110.3678521078229
Total,2013-04-01,108.42403152839978
Total,2013-05-01,105.67376137329042
Total,2013-06-01,102.78267797295021
Total,2013-07-01,100.90793288634725
Total,2013-08-01,103.06722224554385
Total,2013-09-01,99.04131827883361
Total,2013-10-01,97.73459342423779
Total,2013-11-01,102.50293315815553
Total,2013-12-01,106.57128692579903
Total,2014-01-01,107.16005205521023
Total,2014-02-01,109.51487585434862
Total,2014-03-01,110.47475708676367
Total,2014-04-01,108.49541900448398
Total,2014-05-01,110.84498472928826
Total,2014-06-01,103.32286503196158
Total,2014-07-01,104.42640433505935
Total,2014-08-01,98.79679237496339
Total,2014-09-01,99.4452151199171
Total,2014-10-01,102.41916653281959
Total,2014-11-01,100.75186584979159
Total,2014-12-01,108.7977308110344
Total,2015-01-01,110.07525763313723
Total,2015-02-01,112.37475738729256
Total,2015-03-01,114.68640558880762
Total,2015-04-01,113.9202848087437
Total,2015-05-01,111.72183117336994
Total,2015-06-01,108.61882015275084
Total,2015-07-01,104.05195752347566
Total,2015-08-01,102.98058847983617
Total,2015-09-01,98.60929152657764
Total,2015-10-01,102.75973398051964
Total,2015-11-01,106.01062359195075
Total,2015-12-01,106.13552747937922
Total,2016-01-01,111.1944418785157
Total,2016-02-01,112.74753227536195
Total,2016-03-01,112.80103316987135
Total,2016-04-01,115.2421049024253
Total,2016-05-01,108.17881476326662
Total,2016-06-01,109.982456471905
Total,2016-07-01,107.30060123374194
Total,2016-08-01,105.42189854818432
Total,2016-09-01,100.71719647405641
Total,2016-10-01,102.29027663571749
Total,2016-11-01,106.54656639218703
Total,2016-12-01,110.19015890925843
Total,2017-01-01,110.63415478532282
Total,2017-02-01,115.83758737588573
Total,2017-03-01,112.38153211776319
Total,2017-04-01,113.9535050629098
Total,2017-05-01,113.10323978010217
Total,2017-06-01,110.04261488144466
Total,2017-07-01,105.20549206006798
Total,2017-08-01,106.01811039024426
Total,2017-09-01,104.203817066688
Total,2017-10-01,105.84913075490161
Total,2017-11-01,106.98881622708682
Total,2017-12-01,107.47493529578264
Total,2018-01-01,113.32108947165084
Total,2018-02-01,112.86032679754506
Total,2018-03-01,116.03404247184436
Total,2018-04-01,112.56628383440724
Total,2018-05-01,110.4873620867193
Total,2018-06-01,110.71402099250622
Total,2018-07-01,111.5012374012311
Total,2018-08-01,105.75901084813776
Total,2018-09-01,104.2867874082524
Total,2018-10-01,104.81933301612608
Total,2018-11-01,109.37978486554371
Total,2018-12-01,110.98723252054029
Total,2019-01-01,117.60186557554238
Total,2019-02-01,114.29964176668794
Total,2019-03-01,114.98468030484435
Total,2019-04-01,116.15376922698121
Total,2019-05-01,111.65998175370069
Total,2019-06-01,114.46304302466201
Total,2019-07-01,108.15568240509842
Total,2019-08-01,108.77618643381753
Total,2019-09-01,107.25687683916607
Total,2019-10-01,105.34779053309275
Total,2019-11-01,108.32664091955614
Total,2019-12-01,113.45635913948004
Total,2020-01-01,116.83716680785508
Total,2020-02-01,119.14384227049318
Total,2020-03-01,118.01768471089298
Total,2020-04-01,120.34859020211957
Total,2020-05-01,111.50022697709652
Total,2020-06-01,111.28432473604974
Total,2020-07-01,110.03241757044816
Total,2020-08-01,107.06874342783313
Total,2020-09-01,108.6542968760063
Total,2020-10-01,106.82855603159132
Total,2020-11-01,110.96852240552695
Total,2020-12-01,114.23836668875387
Total,2021-01-01,119.38701107648137
Total,2021-02-01,120.05562197480825
Total,2021-03-01,118.08995826227039
Total,2021-04-01,118.62243446806337
Total,2021-05-01,115.37570357247188
Total,2021-06-01,112.96861278785464
Total,2021-07-01,113.04502387556927
Total,2021-08-01,109.63455427162455
Total,2021-09-01,110.55790352680398
Total,2021-10-01,108.32635728090133
Total,2021-11-01,110.46645327500995
Total,2021-12-01,114.76934402227025
A,2010-01-01,59.301313075978825
A,2010-02-01,60.94929230036959
A,2010-03-01,63.10414194278676
A,2010-04-01,63.80686457457955
A,2010-05-01,65.36595941763937
A,2010-06-01,62.20339230297459
A,2010-07-01,61.02408860722957
A,2010-08-01,58.204332140666374
A,2010-09-01,56.082481183106225
A,2010-10-01,54.05516423404942
A,2010-11-01,56.69475381409587
A,2010-12-01,57.10246813029702
A,2011-01-01,60.38961874777022
A,2011-02-01,63.850863766831154
A,2011-03-01,64.30646950016177
A,2011-04-01,65.78995990350963
A,2011-05-01,64.72375576567798
A,2011-06-01,63.238754847154645
A,2011-07-01,62.85622688672261
A,2011-08-01,56.79164464801297
A,2011-09-01,58.56135838389231
A,2011-10-01,56.244343160375934
A,2011-11-01,55.40701239907924
A,2011-12-01,58.898880819524734
A,2012-01-01,62.93582959967577
A,2012-02-01,62.75774671024349
A,2012-03-01,68.31935785928101
A,2012-04-01,67.2577333220221
A,2012-05-01,66.93376250741451
A,2012-06-01,64.92882926893292
A,2012-07-01,61.07080451610027
A,2012-08-01,58.56041613656137
A,2012-09-01,56.717969448578984
A,2012-10-01,57.878045950911535
A,2012-11-01,57.85160450771247
A,2012-12-01,59.888559284653006
A,2013-01-01,64.1220234941897
A,2013-02-01,65.54820977677069
A,2013-03-01,68.09806302121928
A,2013-04-01,68.98921506266583
A,2013-05-01,67.08638495968482
A,2013-06-01,64.64775052472417
A,2013-07-01,63.69614597724619
A,2013-08-01,64.90155871516303
A,2013-09-01,58.49473369360794
A,2013-10-01,56.399509519822345
A,2013-11-01,59.21289373935124
A,2013-12-01,62.31812277874369
A,2014-01-01,62.967443158362975
A,2014-02-01,64.46091061176921
A,2014-03-01,66.32437963302951
A,2014-04-01,66.78535272038694
A,2014-05-01,70.4152382279872
A,2014-06-01,64.96831714104636
A,2014-07-01,64.85313419589417
A,2014-08-01,60.5425462456486
A,2014-09-01,58.700808193927045
A,2014-10-01,59.007531366509156
A,2014-11-01,57.5086844786693
A,2014-12-01,62.26531177190253
A,2015-01-01,63.71239529193624
A,2015-02-01,67.29794295278373
A,2015-03-01,69.79024691749959
A,2015-04-01,70.31790961908321
A,2015-05-01,70.30411460951026
A,2015-06-01,67.82628126982331
A,2015-07-01,63.28179504838733
A,2015-08-01,61.765634668088104
A,2015-09-01,57.205733937332425
A,2015-10-01,60.34524658186834
A,2015-11-01,60.17609145413243
A,2015-12-01,61.02138758997646
A,2016-01-01,63.46374291661201
A,2016-02-01,69.23538961089199
A,2016-03-01,66.96829036164804
A,2016-04-01,72.74357374802561
A,2016-05-01,66.34285723065483
A,2016-06-01,68.91151629312533
A,2016-07-01,66.67661857301395
A,2016-08-01,62.31303845851134
A,2016-09-01,58.90256052686658
A,2016-10-01,58.33294413041738
A,2016-11-01,60.47773753378433
A,2016-12-01,62.98681352123299
A,2017-01-01,64.49475510046689
A,2017-02-01,69.32116465471236
A,2017-03-01,68.00712070720562
A,2017-04-01,69.28787298391366
A,2017-05-01,70.40170285413846
A,2017-06-01,68.60890058267263
A,2017-07-01,64.35912133877433
A,2017-08-01,64.4390415509328
A,2017-09-01,61.599512487057105
A,2017-10-01,60.55599845607998
A,2017-11-01,61.65248331091896
A,2017-12-01,61.99289644700618
A,2018-01-01,65.79580572317529
A,2018-02-01,66.164005328912
A,2018-03-01,70.28990536179937
A,2018-04-01,68.79110516179442
A,2018-05-01,67.4528647070887
A,2018-06-01,69.3290050913256
A,2018-07-01,70.08693850709624
A,2018-08-01,63.189856710529476
A,2018-09-01,62.17074921524479
A,2018-10-01,60.49166069852167
A,2018-11-01,61.43651890076335
A,2018-12-01,64.3217664884913
A,2019-01-01,69.21895761993548
A,2019-02-01,67.7274046078175
A,2019-03-01,68.76287678698354
A,2019-04-01,71.76235674969509
A,2019-05-01,68.67269983162481
A,2019-06-01,71.02885343967588
A,2019-07-01,66.90635206629179
A,2019-08-01,67.58625399333414
A,2019-09-01,63.11201621789124
A,2019-10-01,61.00778590004124
A,2019-11-01,61.68732947165473
A,2019-12-01,65.03890054846975
A,2020-01-01,68.88627023450842
A,2020-02-01,71.12652791403671
A,2020-03-01,71.26594475829788
A,2020-04-01,75.53980380812146
A,2020-05-01,69.55421001677729
A,2020-06-01,67.97573005321671
A,2020-07-01,67.33785046671794
A,2020-08-01,64.47750263987275
A,2020-09-01,63.947818454129404
A,2020-10-01,60.93545839719131
A,2020-11-01,65.11646919044829
A,2020-12-01,66.75809425303197
A,2021-01-01,70.19235185314761
A,2021-02-01,71.91710335516773
A,2021-03-01,71.22056710450681
A,2021-04-01,75.02633002579017
A,2021-05-01,70.81299605580227
A,2021-06-01,69.87710741526752
A,2021-07-01,69.36698179929606
A,2021-08-01,67.20969144192424
A,2021-09-01,65.91808686363653
A,2021-10-01,61.06895863537576
A,2021-11-01,62.062219138715754
A,2021-12-01,64.78239996276157
B,2010-01-01,43.60428841281506
B,2010-02-01,43.02572079328083
B,2010-03-01,41.23643358019146
B,2010-04-01,40.27880716242334
B,2010-05-01,37.79272098373074
B,2010-06-01,37.62763113088962
B,2010-07-01,37.57354697740437
B,2010-08-01,37.979325869588166
B,2010-09-01,39.00306983688059
B,2010-10-01,39.57428664534329
B,2010-11-01,42.43418429078131
B,2010-12-01,42.2855102155469
B,2011-01-01,43.45706065911934
B,2011-02-01,42.67935223496663
B,2011-03-01,40.56355361564774
B,2011-04-01,41.1564478778858
B,2011-05-01,38.26952627041124
B,2011-06-01,37.20092824550492
B,2011-07-01,38.12909408970793
B,2011-08-01,38.56358507456559
B,2011-09-01,37.96464287102351
B,2011-10-01,40.038575620687396
B,2011-11-01,42.33620009988132
B,2011-12-01,43.530385502848254
B,2012-01-01,44.169958451010416
B,2012-02-01,44.65183567572856
B,2012-03-01,41.35816369222578
B,2012-04-01,41.651184009322506
B,2012-05-01,40.12399714778925
B,2012-06-01,37.912438047554765
B,2012-07-01,37.74163615002939
B,2012-08-01,38.166685977787644
B,2012-09-01,39.66277055370624
B,2012-10-01,41.24988541815931
B,2012-11-01,43.447545286449014
B,2012-12-01,45.11480199641324
B,2013-01-01,44.92910088899468
B,2013-02-01,42.88604919740735
B,2013-03-01,42.26978908660362
B,2013-04-01,39.43481646573394
B,2013-05-01,38.5873764136056
B,2013-06-01,38.134927448226044
B,2013-07-01,37.21178690910107
B,2013-08-01,38.16566353038081
B,2013-09-01,40.54658458522568
B,2013-10-01,41.33508390441544
B,2013-11-01,43.29003941880429
B,2013-12-01,44.25316414705533
B,2014-01-01,44.19260889684725
B,2014-02-01,45.05396524257941
B,2014-03-01,44.15037745373416
B,2014-04-01,41.71006628409704
B,2014-05-01,40.42974650130105
B,2014-06-01,38.35454789091523
B,2014-07-01,39.573270139165174
B,2014-08-01,38.25424612931479
B,2014-09-01,40.744406925990056
B,2014-10-01,43.411635166310425
B,2014-11-01,43.24318137112228
B,2014-12-01,46.53241903913187
B,2015-01-01,46.36286234120099
B,2015-02-01,45.076814434508826
B,2015-03-01,44.89615867130804
B,2015-04-01,43.60237518966049
B,2015-05-01,41.41771656385966
B,2015-06-01,40.79253888292753
B,2015-07-01,40.77016247508833
B,2015-08-01,41.214953811748074
B,2015-09-01,41.40355758924522
B,2015-10-01,42.4144873986513
B,2015-11-01,45.83453213781832
B,2015-12-01,45.11413988940275
B,2016-01-01,47.7306989619037
B,2016-02-01,43.512142664469955
B,2016-03-01,45.83274280822331
B,2016-04-01,42.49853115439968
B,2016-05-01,41.83595753261179
B,2016-06-01,41.070940178779665
B,2016-07-01,40.62398266072799
B,2016-08-01,43.108860089672966
B,2016-09-01,41.81463594718983
B,2016-10-01,43.95733250530011
B,2016-11-01,46.0688288584027
B,2016-12-01,47.20334538802543
B,2017-01-01,46.13939968485593
B,2017-02-01,46.51642272117337
B,2017-03-01,44.37441141055758
B,2017-04-01,44.66563207899614
B,2017-05-01,42.701536925963715
B,2017-06-01,41.43371429877203
B,2017-07-01,40.84637072129365
B,2017-08-01,41.579068839311454
B,2017-09-01,42.6043045796309
B,2017-10-01,45.293132298821625
B,2017-11-01,45.336332916167855
B,2017-12-01,45.48203884877647
B,2018-01-01,47.525283748475545
B,2018-02-01,46.69632146863306
B,2018-03-01,45.74413711004499
B,2018-04-01,43.77517867261283
B,2018-05-01,43.03449737963061
B,2018-06-01,41.38501590118062
B,2018-07-01,41.41429889413486
B,2018-08-01,42.569154137608294
B,2018-09-01,42.116038193007604
B,2018-10-01,44.32767231760442
B,2018-11-01,47.943265964780366
B,2018-12-01,46.66546603204898
B,2019-01-01,48.382907955606896
B,2019-02-01,46.572237158870436
B,2019-03-01,46.221803517860806
B,2019-04-01,44.391412477286124
B,2019-05-01,42.98728192207587
B,2019-06-01,43.43418958498613
B,2019-07-01,41.24933033880662
B,2019-08-01,41.18993244048339
B,2019-09-01,44.14486062127483
B,2019-10-01,44.34000463305151
B,2019-11-01,46.63931144790141
B,2019-12-01,48.41745859101029
B,2020-01-01,47.95089657334667
B,2020-02-01,48.01731435645647
B,2020-03-01,46.75173995259511
B,2020-04-01,44.8087863939981
B,2020-05-01,41.94601696031923
B,2020-06-01,43.308594682833025
B,2020-07-01,42.69456710373023
B,2020-08-01,42.59124078796037
B,2020-09-01,44.7064784218769
B,2020-10-01,45.8930976344
B,2020-11-01,45.85205321507867
B,2020-12-01,47.48027243572189
B,2021-01-01,49.19465922333376
B,2021-02-01,48.13851861964053
B,2021-03-01,46.86939115776357
B,2021-04-01,43.596104442273194
B,2021-05-01,44.562707516669605
B,2021-06-01,43.09150537258712
B,2021-07-01,43.678042076273215
B,2021-08-01,42.424862829700324
B,2021-09-01,44.639816663167444
B,2021-10-01,47.25739864552558
B,2021-11-01,48.4042341362942
B,2021-12-01,49.986944059508666
