event,probability,outcome,threshold
0,0.32342854763623885,1,0.2
1,0.40281583829422574,1,0.2
2,0.23761608916309807,0,0.2
3,0.5323654100792672,1,0.2
4,0.4943393447003585,0,0.2
5,0.9356854546724405,1,0.2
6,0.9582789023491964,1,0.2
7,0.2491613500155384,0,0.2
8,0.8556052396860654,1,0.2
9,0.6276282084724674,0,0.2
10,0.7213161012226291,1,0.2
11,0.23481363951183065,0,0.2
12,0.20614529437952692,1,0.2
13,0.4074872664021423,0,0.2
14,0.8475691528200786,1,0.2
15,0.10530316992506525,0,0.2
16,0.5473289158571337,1,0.2
17,0.14204242557164146,0,0.2
18,0.6750147475706405,1,0.2
19,0.21795693108899483,0,0.2
20,0.08994106480663897,0,0.2
21,0.16354584045106396,0,0.2
22,0.1578949692098063,0,0.2
23,0.5049636075504814,0,0.2
24,0.4133229869855589,0,0.2
25,0.4508525679666603,1,0.2
26,0.4167946325378109,1,0.2
27,0.9414098659238317,1,0.2
28,0.5322362326993569,0,0.2
29,0.6767013933721887,1,0.2
30,0.521972334516671,0,0.2
31,0.6070366479449851,0,0.2
32,0.765076345758134,1,0.2
33,0.3440022475675142,1,0.2
34,0.41960898265345675,0,0.2
35,0.41264822072962826,1,0.2
36,0.7467690653414084,1,0.2
37,0.7936539627470964,1,0.2
38,0.4128539754850119,1,0.2
39,0.4264402829130298,0,0.2
40,0.723497007262901,0,0.2
41,0.14954739957203955,0,0.2
42,0.2659479327924149,0,0.2
43,0.24767348351482749,0,0.2
44,0.34328566770649815,1,0.2
45,0.5952807268515352,1,0.2
46,0.9621546765125492,1,0.2
47,0.4613146598673647,1,0.2
48,0.9064983709556926,1,0.2
49,0.03138892152930716,0,0.2
50,0.09057341246487026,0,0.2
51,0.8275274365096863,0,0.2
52,0.7338582649627081,0,0.2
53,0.357249778753413,1,0.2
54,0.6827350902941305,1,0.2
55,0.155528625590851,0,0.2
56,0.9102906353932589,1,0.2
57,0.3563716417791378,0,0.2
58,0.5144587204497904,1,0.2
59,0.10173283990072304,0,0.2
60,0.761190310957314,1,0.2
61,0.18501498684369022,0,0.2
62,0.9330302949614645,1,0.2
63,0.29515326731534175,1,0.2
