timestamp,actual,persistence,momentum,mean_reversion,actual_direction,momentum_hit,mean_reversion_hit
2018-05-01 00:00:00+00:00,108.19398629452073,107.18765548801964,107.14142325667366,106.77838537699763,1.0,0,0
2018-06-01 00:00:00+00:00,108.65530735800746,108.19398629452073,108.48121678466893,107.06561586714581,1.0,1,0
2018-07-01 00:00:00+00:00,110.35771606413702,108.65530735800746,108.99322293106412,107.40353144020249,1.0,1,0
2018-08-01 00:00:00+00:00,109.98521411681996,110.35771606413702,111.0188206763006,108.06463605236607,-1.0,0,1
2018-09-01 00:00:00+00:00,110.14236722875964,109.98521411681996,110.79655392875486,108.87597586430097,1.0,1,0
2018-10-01 00:00:00+00:00,109.3357294393455,110.14236722875964,110.73330957690764,109.46691821244897,-1.0,0,1
2018-11-01 00:00:00+00:00,108.03966485268631,109.3357294393455,109.56407806831045,109.69526684141393,-1.0,0,0
2018-12-01 00:00:00+00:00,107.64993506865515,108.03966485268631,107.91653635162209,109.5721383403497,-1.0,1,0
2019-01-01 00:00:00+00:00,110.02418206600632,107.64993506865515,107.10837886955878,109.0305821412533,1.0,0,1
2019-02-01 00:00:00+00:00,111.20236706585358,110.02418206600632,110.0319756558436,109.03837573109058,1.0,1,0
2019-03-01 00:00:00+00:00,110.09337874957365,111.20236706585358,111.41436703327237,109.25037569850936,-1.0,0,1
2019-04-01 00:00:00+00:00,109.94379935147812,110.09337874957365,110.24490861161928,109.40190556055502,-1.0,0,1
2019-05-01 00:00:00+00:00,109.30443952140452,109.94379935147812,110.32462625123648,109.78273246031335,-1.0,0,1
2019-06-01 00:00:00+00:00,109.9046818897978,109.30443952140452,109.63534041195439,110.11363335086324,1.0,1,1
2019-07-01 00:00:00+00:00,110.15941536899872,109.9046818897978,109.88078185455609,110.08973331562152,1.0,0,1
2019-08-01 00:00:00+00:00,110.08485118543484,110.15941536899872,109.95082502962775,109.88114297625057,-1.0,1,1
2019-09-01 00:00:00+00:00,111.4031389783982,110.08485118543484,110.08314567260709,109.8794374634228,1.0,0,0
2019-10-01 00:00:00+00:00,109.53560709300504,111.4031389783982,111.69500690378221,110.17130538880683,-1.0,0,1
2019-11-01 00:00:00+00:00,110.15137332200922,109.53560709300504,109.58184060732515,110.21753890312691,1.0,1,1
2019-12-01 00:00:00+00:00,110.02682171086651,110.15137332200922,110.2007116084515,110.26687718956921,-1.0,0,0
2020-01-01 00:00:00+00:00,110.24209423471166,110.02682171086651,110.00030297924008,110.24035845794279,1.0,0,1
2020-02-01 00:00:00+00:00,111.10369152663225,110.24209423471166,110.27354284456702,110.27180706779814,1.0,1,1
2020-03-01 00:00:00+00:00,111.92398274688536,111.10369152663225,111.04380203627906,110.21191757744494,1.0,0,0
2020-04-01 00:00:00+00:00,113.13054973442595,111.92398274688536,112.40165787766142,110.689592708221,1.0,1,0
2020-05-01 00:00:00+00:00,113.0504967836267,113.13054973442595,113.7263850169093,111.28542799070435,-1.0,0,1
2020-06-01 00:00:00+00:00,112.12715715602822,113.0504967836267,113.65523179817873,111.89016300525638,-1.0,0,1
2020-07-01 00:00:00+00:00,114.5011616070876,112.12715715602822,112.50416974029153,112.26717558951971,1.0,1,1
2020-08-01 00:00:00+00:00,115.57205690290942,114.5011616070876,115.18065562317867,112.94666960561077,1.0,1,0
2020-09-01 00:00:00+00:00,114.92831562876242,115.57205690290942,116.30167173411424,113.67628443681556,-1.0,0,1
2020-10-01 00:00:00+00:00,115.9951310822138,114.92831562876242,115.2878688076297,114.03583761568287,1.0,1,0
2020-11-01 00:00:00+00:00,116.90478015586484,115.9951310822138,116.58405794193122,114.6247644754003,1.0,1,0
2020-12-01 00:00:00+00:00,117.1465747991891,116.90478015586484,117.86030475583216,115.58028907536762,1.0,1,0
2021-01-01 00:00:00+00:00,118.1902702095806,117.1465747991891,117.6756574376094,116.10937171378791,1.0,1,0
2021-02-01 00:00:00+00:00,119.11733351353408,118.1902702095806,118.71391287091484,116.63301437512216,1.0,1,0
2021-03-01 00:00:00+00:00,120.24113046233188,119.11733351353408,119.9551370904884,117.47081795207649,1.0,1,0
2021-04-01 00:00:00+00:00,120.62058876984727,120.24113046233188,121.0903303383555,118.32001782810009,1.0,1,0
2021-05-01 00:00:00+00:00,121.19643243784364,120.62058876984727,121.36375049264376,119.06317955089658,1.0,1,0
2021-06-01 00:00:00+00:00,120.8626322269362,121.19643243784364,122.00640396557455,119.8731510786275,-1.0,0,1
2021-07-01 00:00:00+00:00,121.01778408664808,120.8626322269362,121.39710463040731,120.40762348209861,1.0,1,0
2021-08-01 00:00:00+00:00,121.0832449917108,121.01778408664808,121.39787420127088,120.78771359672142,1.0,1,0
2021-09-01 00:00:00+00:00,121.08690912710908,121.0832449917108,121.25166789758659,120.9561365025972,1.0,1,0
2021-10-01 00:00:00+00:00,121.26400533746948,121.08690912710908,121.18017319856145,121.04940057404956,1.0,1,0
2021-11-01 00:00:00+00:00,121.72451076883794,121.26400533746948,121.27751991739466,121.06291515397474,1.0,1,0
2021-12-01 00:00:00+00:00,121.625267758897,121.72451076883794,121.89688647721829,121.23529086235507,-1.0,0,1
