timestamp,forecast,model,empirical_q10,empirical_q50,empirical_q90,conformal_lower,conformal_upper,band_lower,band_upper
2011-01-01 00:00:00+00:00,24.53594709393758,LightGBM,23.82503948500572,24.809578096620605,24.88923616506445,23.498212392907405,25.573681794967754,23.498212392907405,25.573681794967754
2011-02-01 00:00:00+00:00,26.057040560124815,LightGBM,25.723488234432672,26.821600085644697,27.154271324937557,24.90913363328754,27.20494748696209,24.90913363328754,27.20494748696209
2011-03-01 00:00:00+00:00,26.1235785755423,LightGBM,26.234739482083942,26.560644158352332,27.357843840598893,24.641961033803934,27.605196117280666,24.641961033803934,27.605196117280666
2011-04-01 00:00:00+00:00,24.839005002110124,LightGBM,24.89353039899939,25.706366182358433,26.238731045607565,23.198772878726036,26.479237125494212,23.198772878726036,26.479237125494212
2011-05-01 00:00:00+00:00,24.077517169681432,LightGBM,23.945836757109447,25.15679873492103,25.51081705097266,22.440826966075235,25.71420737328763,22.440826966075235,25.71420737328763
2011-06-01 00:00:00+00:00,22.96988459019591,LightGBM,22.616963382873692,23.324068631167023,24.42621961782114,21.462616998448972,24.47715218194285,21.462616998448972,24.47715218194285
2011-07-01 00:00:00+00:00,21.730346325870276,LightGBM,21.52623361669485,22.25294106262836,23.45318094968353,20.157697871283553,23.302994780457,20.157697871283553,23.302994780457
2011-08-01 00:00:00+00:00,21.42369804480709,LightGBM,20.585300155256885,21.94270722076103,22.673373058356344,19.706064453660947,23.141331635953232,19.706064453660947,23.141331635953232
2011-09-01 00:00:00+00:00,21.307224128360318,LightGBM,20.154754367314343,21.35447784787599,22.358666422795494,19.41130009449271,23.203148162227926,19.41130009449271,23.203148162227926
2011-10-01 00:00:00+00:00,21.225760913384303,LightGBM,19.566740815604266,21.331900465250396,22.466034278495798,19.427870407848424,23.02365141892018,19.427870407848424,23.02365141892018
2011-11-01 00:00:00+00:00,21.869308943976595,LightGBM,20.21993320260038,21.857603352747734,22.50988329516882,20.244923208828517,23.493694679124673,20.244923208828517,23.493694679124673
2011-12-01 00:00:00+00:00,22.387172185502283,LightGBM,21.521352964227322,22.573434111920452,23.716137879710118,20.98137537841089,23.79296899259368,20.98137537841089,23.79296899259368
