timestamp,actual,prediction,baseline
2021-01-01 00:00:00+00:00,142.26147519194885,140.18824390253425,142.77428590361302
2021-02-01 00:00:00+00:00,147.39597266689765,153.78300393781058,144.96685594195992
2021-03-01 00:00:00+00:00,151.49027243247605,149.0817670140144,155.91603045443097
2021-04-01 00:00:00+00:00,147.30831520245155,146.6678712683661,149.23952783561677
2021-05-01 00:00:00+00:00,152.24158079070685,155.7283784029447,148.24053909308992
2021-06-01 00:00:00+00:00,149.09397741902825,149.08756461199755,141.56822400307996
2021-07-01 00:00:00+00:00,144.22083745731695,144.8992133118669,135.3035127250334
2021-08-01 00:00:00+00:00,137.5103595383709,137.03767219087536,133.42040109002255
2021-09-01 00:00:00+00:00,140.47242902663697,140.47920845952507,132.2435057902945
2021-10-01 00:00:00+00:00,138.37817381845997,138.35509419997814,128.1062073571793
2021-11-01 00:00:00+00:00,136.43692268637483,134.55857871130257,131.42171108444336
2021-12-01 00:00:00+00:00,138.25808823740525,142.63217414169912,141.6343526268692
