timestamp,observed,ols_counterfactual,ols_effect,post,relative_period,sc_counterfactual,sc_effect
2010-01-01 00:00:00+00:00,103.424373418615,104.69501754789734,-1.2706441292823314,False,-100,100.74414898815003,2.6802244304649747
2010-02-01 00:00:00+00:00,106.26946836015472,105.7702326201571,0.4992357399976157,False,-99,100.95158044378726,5.317887916367454
2010-03-01 00:00:00+00:00,104.7285919878349,104.31210158267982,0.41649040515508773,False,-98,100.78472473349112,3.943867254343786
2010-04-01 00:00:00+00:00,106.09081245741648,105.52494619740743,0.5658662600090452,False,-97,100.744554799351,5.346257658065483
2010-05-01 00:00:00+00:00,104.96642168094158,105.21846250595613,-0.2520408250145465,False,-96,100.4781108724525,4.488310808489075
2010-06-01 00:00:00+00:00,105.5228176651821,103.943882178333,1.5789354868491046,False,-95,100.05649377563581,5.466323889546288
2010-07-01 00:00:00+00:00,102.2353795385452,104.47382621923072,-2.238446680685513,False,-94,100.0441135782075,2.1912659603377023
2010-08-01 00:00:00+00:00,106.10264479299734,105.3194353868437,0.7832094061536452,False,-93,101.93415413821117,4.168490654786169
2010-09-01 00:00:00+00:00,105.6219951746772,105.68233366380468,-0.060338489127488515,False,-92,101.60034221277765,4.021652961899548
2010-10-01 00:00:00+00:00,105.40175812415418,105.53066190716294,-0.12890378300875227,False,-91,101.4301797502629,3.9715783738912904
2010-11-01 00:00:00+00:00,107.59552794603891,105.19612512607222,2.3994028199666957,False,-90,100.99630954048654,6.599218405552378
2010-12-01 00:00:00+00:00,105.67459684207512,105.6491828336637,0.025414008411416944,False,-89,101.99072827523945,3.6838685668356703
2011-01-01 00:00:00+00:00,103.2604644549188,103.64202280481294,-0.38155834989413506,False,-88,100.18325592259038,3.0772085323284273
2011-02-01 00:00:00+00:00,105.60518480146762,106.28053788576548,-0.6753530842978677,False,-87,102.59247894111756,3.012705860350053
2011-03-01 00:00:00+00:00,105.76942914405336,105.63031039150229,0.1391187525510702,False,-86,101.67354677624401,4.095882367809352
2011-04-01 00:00:00+00:00,105.71727844247292,105.08319913668566,0.6340793057872531,False,-85,101.47170795800332,4.245570484469596
2011-05-01 00:00:00+00:00,103.4697151060131,104.50916648163809,-1.0394513756249921,False,-84,100.43573594431783,3.033979161695271
2011-06-01 00:00:00+00:00,105.96225533676554,105.5713936595348,0.3908616772307312,False,-83,101.38860336559935,4.573651971166186
2011-07-01 00:00:00+00:00,105.61802226688012,105.9539152696086,-0.33589300272848277,False,-82,102.7855377353719,2.8324845315082143
2011-08-01 00:00:00+00:00,106.69474351628529,105.72733319223249,0.9674103240527927,False,-81,102.31959046533905,4.375153050946238
2011-09-01 00:00:00+00:00,105.52653082667538,105.39071526700522,0.13581555967016357,False,-80,102.56456281086437,2.96196801581101
2011-10-01 00:00:00+00:00,106.49769502880412,106.07903480173584,0.41866022706827266,False,-79,102.74657666697492,3.7511183618291994
2011-11-01 00:00:00+00:00,106.10873840477475,106.11150861904683,-0.0027702142720755774,False,-78,102.31691087434902,3.791827530425735
