series_id,timestamp,actual,baseline,lower,median,upper
item-6,2021-06-01 00:00:00+00:00,71.46688752765841,73.0987613885614,68.26100006103516,75.93281555175781,84.6411521911621
item-6,2021-07-01 00:00:00+00:00,73.30202591671622,70.63669458925058,64.90141525268555,72.04887390136719,80.28528289794922
item-6,2021-08-01 00:00:00+00:00,66.90206950246065,64.33380616452489,57.30724754333496,67.02737045288086,73.44527587890626
item-6,2021-09-01 00:00:00+00:00,67.96792213497876,60.41657191510434,53.8548999786377,63.122127532958984,69.89181823730469
item-6,2021-10-01 00:00:00+00:00,65.81362969215193,70.02026847403229,53.41843490600586,60.06488800048828,69.42196655273438
item-6,2021-11-01 00:00:00+00:00,65.74355891094426,63.67954819843823,54.487104415893555,61.734378814697266,69.99732131958008
item-6,2021-12-01 00:00:00+00:00,65.80808508406832,65.08988002863467,59.1022274017334,68.38484954833984,76.68206405639648
item-7,2021-06-01 00:00:00+00:00,74.26227126163349,77.73352190516593,69.91404266357422,78.06560134887695,85.54111709594727
item-7,2021-07-01 00:00:00+00:00,72.56115328505489,71.245075031823,67.43429489135742,75.33520889282227,82.32243041992187
item-7,2021-08-01 00:00:00+00:00,72.10649657552821,67.40939640913734,58.90082473754883,68.62579345703125,76.34358215332031
item-7,2021-09-01 00:00:00+00:00,81.4069815276111,61.98271894724443,57.0597770690918,64.44380569458008,72.77261428833008
item-7,2021-10-01 00:00:00+00:00,77.77374192938785,62.0610074295374,55.65223999023438,62.40952491760254,69.99370422363282
item-7,2021-11-01 00:00:00+00:00,67.97647211929393,67.94560057071226,57.713218688964844,64.78504180908203,72.26300506591797
item-7,2021-12-01 00:00:00+00:00,79.86900897137042,67.42105935485637,62.86109962463379,70.23560333251953,78.60897521972656
