end,method,a,b,holdout_mae,coefficient_error
104,Joint OLS,5.419172079599599,15.272566063612892,1.6224639647273853,9.808033098819324
104,Known background,4.826826762499727,15.181710516332153,1.5960335268281272,10.150437440602547
104,Wrong background,-3.173173237500371,15.181710516332258,1.5960335268281294,16.786963752733694
104,Prior A,15.913617669678615,4.097164993637534,1.6184257926795782,5.52707195097992
104,Prior B,4.010918245982339,15.99741176798102,1.5946500324597177,11.304159511393106
130,Joint OLS,4.214263122282919,15.464195733262564,1.3644763141238927,10.7857274522166
130,Known background,4.920187862122355,15.049741048998108,1.2376807548071982,9.991125500441308
130,Wrong background,-3.0798121378776857,15.04974104899815,1.237680754807197,16.646308388697257
130,Prior A,15.879299941890167,4.0970695530891135,1.3410154905117972,5.502893249243807
130,Prior B,3.9939556552260456,15.975539866181407,1.228924700763613,11.300707155197676
156,Joint OLS,-0.30368355699213484,19.958135656185046,1.393441877516022,17.157436796978818
156,Known background,-0.09797319398294527,20.05963984615248,1.3968815367548013,17.082033503691488
156,Wrong background,-8.097973193982947,20.05963984615248,1.396881536754798,23.43850335932236
156,Prior A,15.78885238599014,4.1771193614058575,1.3643311581499615,5.382361821706261
156,Prior B,3.9321775671844534,16.03066783430836,1.3840601121750769,11.383381952321406
182,Joint OLS,1.1241916688885623,19.061127121025645,1.6449634219573426,15.512309307210261
182,Known background,0.4693225107639383,19.493068083284182,1.7220350961081523,16.280268343236262
182,Wrong background,-7.53067748923598,19.49306808328409,1.7220350961081503,22.661376329683783
182,Prior A,15.766871122689736,4.201527993894388,1.6708331501579734,5.349552096776124
182,Prior B,3.932711261870054,16.031111603551835,1.7086485483724134,11.38331679138656
