timestamp,lower,forecast,upper
2022-01-01,51.53849033839446,54.22501723035234,56.617131795923065
2022-02-01,55.74707911722691,58.441214445553705,61.174840750875525
2022-03-01,58.40446653024983,61.54514630967292,64.21186221911174
2022-04-01,62.41384164467273,64.77869463690129,67.30040678121564
2022-05-01,59.109121887097544,61.671617466139615,64.08648295391181
2022-06-01,56.01755207599708,58.488588453887246,61.3448657758039
2022-07-01,51.50999056355791,54.15185429160899,56.84945523807546
2022-08-01,46.91984963706457,49.57647527835507,52.175169151940274
2022-09-01,44.42883022652507,46.69040761279376,49.23537006042931
2022-10-01,43.30839628760433,45.82691817678649,48.237555836251644
2022-11-01,43.39512656918267,46.325105676671384,48.90307944118196
2022-12-01,46.34215293372502,48.651171303691534,51.5740445867542
