event_id,probability,outcome,timestamp,brier,baseline_brier
synthetic-000,0.8310612795542952,1,2024-01-23T00:00:00+00:00,0.028540291265831994,0.25
synthetic-001,0.6640536758576614,0,2024-01-24T00:00:00+00:00,0.44096728442007205,0.25
synthetic-002,0.1487686711568479,0,2024-01-25T00:00:00+00:00,0.022132117517774344,0.25
synthetic-003,0.5893218311550358,1,2024-01-26T00:00:00+00:00,0.16865655836585294,0.25
synthetic-004,0.21183343829074427,0,2024-01-27T00:00:00+00:00,0.04487340557807856,0.25
synthetic-005,0.8360609772205372,1,2024-01-28T00:00:00+00:00,0.026876003189885228,0.25
synthetic-006,0.6094075363590901,1,2024-01-29T00:00:00+00:00,0.15256247265307554,0.25
synthetic-007,0.5623851427262392,0,2024-01-30T00:00:00+00:00,0.3162770487592124,0.25
synthetic-008,0.3267965538599207,0,2024-01-31T00:00:00+00:00,0.10679598761472003,0.25
synthetic-009,0.38611355807667974,0,2024-02-01T00:00:00+00:00,0.14908367973063355,0.25
synthetic-010,0.42790176759476806,0,2024-02-02T00:00:00+00:00,0.1830999227107269,0.25
synthetic-011,0.48515500063829564,1,2024-02-03T00:00:00+00:00,0.2650653733677534,0.25
synthetic-012,0.7067081208030186,1,2024-02-04T00:00:00+00:00,0.08602012640289673,0.25
synthetic-013,0.747587581926678,1,2024-02-05T00:00:00+00:00,0.06371202879762151,0.25
synthetic-014,0.10089664007009827,0,2024-02-06T00:00:00+00:00,0.01018013197743496,0.25
synthetic-015,0.7180335208772255,1,2024-02-07T00:00:00+00:00,0.07950509534889404,0.25
synthetic-016,0.8590857434834152,1,2024-02-08T00:00:00+00:00,0.019856827689621874,0.25
synthetic-017,0.6679059919103684,1,2024-02-09T00:00:00+00:00,0.11028643020903632,0.25
synthetic-018,0.3730936152518773,0,2024-02-10T00:00:00+00:00,0.13919884574171584,0.25
synthetic-019,0.7442048262399599,0,2024-02-11T00:00:00+00:00,0.5538408233988489,0.25
synthetic-020,0.22679572412014873,0,2024-02-12T00:00:00+00:00,0.051436300479182614,0.25
synthetic-021,0.6499223966605476,1,2024-02-13T00:00:00+00:00,0.12255432835989495,0.25
synthetic-022,0.10670256991548506,1,2024-02-14T00:00:00+00:00,0.7979802985955988,0.25
synthetic-023,0.5156943715267965,1,2024-02-15T00:00:00+00:00,0.23455194177082458,0.25
synthetic-024,0.5961936200384511,0,2024-02-16T00:00:00+00:00,0.355446832574553,0.25
synthetic-025,0.10212908820076834,0,2024-02-17T00:00:00+00:00,0.010430350656720318,0.25
synthetic-026,0.6942085956662258,1,2024-02-18T00:00:00+00:00,0.09350838296442175,0.25
synthetic-027,0.17011711867003276,0,2024-02-19T00:00:00+00:00,0.02893983406459401,0.25
synthetic-028,0.3706528333128148,1,2024-02-20T00:00:00+00:00,0.3960778562171878,0.25
synthetic-029,0.2982816140017511,0,2024-02-21T00:00:00+00:00,0.08897192125148966,0.25
synthetic-030,0.4780265360608727,1,2024-02-22T00:00:00+00:00,0.2724562970566115,0.25
synthetic-031,0.5595852379113953,0,2024-02-23T00:00:00+00:00,0.3131356384883528,0.25
synthetic-032,0.4108069984609066,1,2024-02-24T00:00:00+00:00,0.3471483930626461,0.25
synthetic-033,0.46574635233007894,0,2024-02-25T00:00:00+00:00,0.21691966470877402,0.25
synthetic-034,0.3568714425514438,0,2024-02-26T00:00:00+00:00,0.12735722650874848,0.25
synthetic-035,0.7951923626275113,1,2024-02-27T00:00:00+00:00,0.04194616832610085,0.25
synthetic-036,0.36401358459475897,0,2024-02-28T00:00:00+00:00,0.13250588976952574,0.25
synthetic-037,0.1294190844339723,0,2024-02-29T00:00:00+00:00,0.01674929941572765,0.25
synthetic-038,0.3565234142230909,1,2024-03-01T00:00:00+00:00,0.4140621164431079,0.25
synthetic-039,0.7244987139225241,1,2024-03-02T00:00:00+00:00,0.07590095863034323,0.25
synthetic-040,0.5678858033294367,1,2024-03-03T00:00:00+00:00,0.18672267896424624,0.25
synthetic-041,0.5596301793391253,0,2024-03-04T00:00:00+00:00,0.31318593762714153,0.25
