timestamp,forecast,model,empirical_q10,empirical_q50,empirical_q90,lower,upper,interval_level
2022-01-01 00:00:00+00:00,54.36877077287626,Airline ARIMA,52.6940811533915,54.2183364904496,56.18604675440612,51.56312799202563,57.17441355372689,0.8
2022-02-01 00:00:00+00:00,58.462291255722576,Airline ARIMA,57.52167773093011,58.864671578622215,60.49845395017217,55.65611296615106,61.26846954529409,0.8
2022-03-01 00:00:00+00:00,61.461083471468925,Airline ARIMA,57.1470146045379,61.21874034770727,62.02232321689097,58.654369779186275,64.26779716375157,0.8
2022-04-01 00:00:00+00:00,63.42039305949923,Airline ARIMA,61.18005593627885,63.37766006712343,64.38011480325439,60.61314406661836,66.2276420523801,0.8
2022-05-01 00:00:00+00:00,61.01086206270487,Airline ARIMA,58.76272159352585,59.668539897564145,62.13889391139129,58.20307787128008,63.81864625412965,0.8
2022-06-01 00:00:00+00:00,58.87717650840509,Airline ARIMA,55.08719036428853,58.428229827309025,59.41337860181675,56.06885722043253,61.68549579637766,0.8
2022-07-01 00:00:00+00:00,54.665154224505834,Airline ARIMA,52.910622308823164,53.63029027362729,55.944582763479836,51.85629994192316,57.474008507088506,0.8
2022-08-01 00:00:00+00:00,50.47566044651996,Airline ARIMA,47.33913078824801,49.31436508853498,51.7772895721739,47.666271271206796,53.285049621833124,0.8
2022-09-01 00:00:00+00:00,47.91847269126955,Airline ARIMA,44.471486360842285,46.34399784807502,49.36650822568092,45.10854872504714,50.728396657491956,0.8
2022-10-01 00:00:00+00:00,47.00466904692581,Airline ARIMA,42.77813068901809,44.67728872316569,46.644621147107756,44.19421039155747,49.815127702294156,0.8
2022-11-01 00:00:00+00:00,48.029775607447704,Airline ARIMA,46.217070050452726,47.78790121895075,49.2272285986657,45.21878236463838,50.84076885025703,0.8
2022-12-01 00:00:00+00:00,50.10095315268154,Airline ARIMA,49.30904144623286,49.92156233493453,54.22567188280181,47.289425436391745,52.912480868971336,0.8
