timestamp,forecast,model,empirical_q10,empirical_q50,empirical_q90,conformal_lower,conformal_upper
2011-01-01 00:00:00+00:00,24.7,Seasonal naive,23.56,24.85,25.395999999999997,23.49767955801105,25.902320441988948
2011-02-01 00:00:00+00:00,26.159999999999997,Seasonal naive,24.988,25.740000000000002,27.133999999999993,24.947403314917125,27.37259668508287
2011-03-01 00:00:00+00:00,26.540000000000006,Seasonal naive,25.326000000000004,26.730000000000015,27.334000000000003,25.418861878453047,27.661138121546966
2011-04-01 00:00:00+00:00,26.039999999999996,Seasonal naive,25.464,26.199999999999992,26.74,24.954828729281765,27.125171270718226
2011-05-01 00:00:00+00:00,24.750000000000004,Seasonal naive,24.088000000000005,25.270000000000003,25.926,23.66791160220995,25.832088397790056
2011-06-01 00:00:00+00:00,23.26,Seasonal naive,22.558000000000003,23.48,24.568,22.013491712707186,24.506508287292817
2011-07-01 00:00:00+00:00,21.11,Seasonal naive,20.448,21.46,22.528000000000002,19.66310497237569,22.556895027624307
2011-08-01 00:00:00+00:00,19.49,Seasonal naive,18.197999999999997,19.380000000000003,21.372,17.761535911602206,21.21846408839779
2011-09-01 00:00:00+00:00,19.28,Seasonal naive,17.700000000000003,19.16,21.138,16.977093922651935,21.582906077348067
2011-10-01 00:00:00+00:00,19.73,Seasonal naive,17.172000000000004,19.980000000000004,22.104000000000003,17.093116022099448,22.366883977900553
2011-11-01 00:00:00+00:00,20.440000000000005,Seasonal naive,17.858000000000004,20.89,22.328000000000003,17.650000000000006,23.230000000000004
2011-12-01 00:00:00+00:00,22.069999999999997,Seasonal naive,19.793999999999993,22.549999999999994,23.871999999999996,19.38327624309392,24.756723756906073
