timestamp,forecast,model,empirical_q10,empirical_q50,empirical_q90
2022-01-01 00:00:00+00:00,54.36877077287626,Combination(top3),52.69148501078346,54.2183364904496,56.18604675440612
2022-02-01 00:00:00+00:00,58.462291255722576,Combination(top3),57.52291603111732,58.864671578622215,60.49963813187246
2022-03-01 00:00:00+00:00,61.461083471468925,Combination(top3),57.1475141325876,61.21874034770727,61.91189399834446
2022-04-01 00:00:00+00:00,63.42039305949923,Combination(top3),61.18005593627885,63.37766006712343,64.28929221835145
2022-05-01 00:00:00+00:00,61.01086206270487,Combination(top3),58.763751673420785,59.66892345800814,62.0316162039328
2022-06-01 00:00:00+00:00,58.87717650840509,Combination(top3),55.050192314737046,58.428229827309025,59.41387973915865
2022-07-01 00:00:00+00:00,54.665154224505834,Combination(top3),52.910622308823164,53.63029027362729,55.83930726374281
2022-08-01 00:00:00+00:00,50.47566044651996,Combination(top3),47.339892342699535,49.31467792528435,51.67046560220057
2022-09-01 00:00:00+00:00,47.91847269126955,Combination(top3),44.471834176342966,46.34399784807502,49.336628521879916
2022-10-01 00:00:00+00:00,47.00466904692581,Combination(top3),42.81109843184063,44.67728872316569,46.607663987710275
2022-11-01 00:00:00+00:00,48.029775607447704,Combination(top3),46.21684145455919,47.78790121895075,49.22728926093709
2022-12-01 00:00:00+00:00,50.10095315268154,Combination(top3),49.30904144623286,49.92156233493453,54.2263464279508
