duration_ratio,at_risk,completed,survival
0.4446389236273616,60,1,0.9833333333333333
0.5543302881943631,59,1,0.9666666666666667
0.5716322542164252,58,1,0.95
0.5862477267746671,57,1,0.9333333333333332
0.6312931120285259,56,1,0.9166666666666665
0.6364564027887275,55,1,0.8999999999999998
0.6377071077720226,54,1,0.8833333333333332
0.6524360352728594,53,1,0.8666666666666666
0.6996060465681656,52,1,0.8499999999999999
0.8128641345648545,51,1,0.8333333333333331
0.8145286618149311,50,1,0.8166666666666664
0.852950117456992,49,1,0.7999999999999997
0.8905568388979058,48,1,0.783333333333333
0.908248953376364,47,1,0.7666666666666663
0.9244105105969154,46,1,0.7499999999999997
1.0408978750955324,45,1,0.733333333333333
1.1102124740069577,44,1,0.7166666666666663
1.1607713498271104,43,1,0.6999999999999996
1.1998126655300454,42,1,0.6833333333333329
1.2333183130188625,41,1,0.6666666666666662
1.2383112469727862,40,1,0.6499999999999995
1.2553237173427922,39,1,0.6333333333333327
1.2586980871398692,38,1,0.6166666666666661
1.2848345080408354,37,1,0.5999999999999995
1.313229600521624,36,1,0.5833333333333329
1.370568929241019,35,1,0.5666666666666663
1.3756229645587146,34,1,0.5499999999999997
1.3938292735131872,33,1,0.5333333333333331
1.398725247610405,32,1,0.5166666666666665
1.4079476180834145,31,1,0.49999999999999983
1.4594635912379876,30,1,0.48333333333333317
1.4671922970805797,29,1,0.4666666666666665
1.491563593799014,28,1,0.44999999999999984
1.5332209264540353,27,1,0.43333333333333324
1.5902987217273725,26,1,0.4166666666666666
1.5905365133307463,25,1,0.3999999999999999
1.6941058445946025,24,1,0.38333333333333325
1.7135926118658171,23,1,0.3666666666666666
1.7358465940567587,22,1,0.3499999999999999
1.7982495262325087,21,1,0.33333333333333326
1.7984518040818316,20,1,0.3166666666666666
1.799450466518152,19,1,0.29999999999999993
1.8153134873240508,18,1,0.28333333333333327
1.8938964292439433,17,1,0.2666666666666666
1.9710195885410393,16,1,0.24999999999999994
1.9924163767804262,15,1,0.23333333333333328
2.0,14,0,0.23333333333333328
