timestamp,target,promo
2024-01-01,125.0,0
2024-01-02,168.0,0
2024-01-03,162.0,0
2024-01-04,159.0,0
2024-01-05,166.0,0
2024-01-06,196.0,0
2024-01-07,187.0,0
2024-01-08,169.0,0
2024-01-09,173.0,0
2024-01-10,153.0,0
2024-01-11,176.0,0
2024-01-12,187.0,0
2024-01-13,194.0,0
2024-01-14,185.0,0
2024-01-15,113.0,0
2024-01-16,163.0,0
2024-01-17,152.0,0
2024-01-18,157.0,0
2024-01-19,163.0,0
2024-01-20,213.0,1
2024-01-21,185.0,0
2024-01-22,156.0,0
2024-01-23,149.0,0
2024-01-24,146.0,0
2024-01-25,149.0,0
2024-01-26,154.0,0
2024-01-27,173.0,0
2024-01-28,182.0,0
2024-01-29,152.0,0
2024-01-30,153.0,0
2024-01-31,142.0,0
2024-02-01,153.0,0
2024-02-02,149.0,0
2024-02-03,172.0,0
2024-02-04,185.0,0
2024-02-05,150.0,0
2024-02-06,156.0,0
2024-02-07,149.0,0
2024-02-08,148.0,0
2024-02-09,153.0,0
2024-02-10,181.0,0
2024-02-11,168.0,0
2024-02-12,160.0,0
2024-02-13,142.0,0
2024-02-14,144.0,0
2024-02-15,149.0,0
2024-02-16,156.0,0
2024-02-17,163.0,0
2024-02-18,162.0,0
2024-02-19,102.0,0
2024-02-20,139.0,0
2024-02-21,145.0,0
2024-02-22,148.0,0
2024-02-23,140.0,0
2024-02-24,158.0,0
2024-02-25,156.0,0
2024-02-26,146.0,0
2024-02-27,184.0,1
2024-02-28,137.0,0
2024-02-29,143.0,0
2024-03-01,143.0,0
2024-03-02,160.0,0
2024-03-03,150.0,0
2024-03-04,143.0,0
2024-03-05,145.0,0
2024-03-06,135.0,0
2024-03-07,148.0,0
2024-03-08,149.0,0
2024-03-09,164.0,0
2024-03-10,163.0,0
2024-03-11,145.0,0
2024-03-12,144.0,0
2024-03-13,160.0,1
2024-03-14,124.0,0
2024-03-15,146.0,0
2024-03-16,159.0,0
2024-03-17,158.0,0
2024-03-18,150.0,0
2024-03-19,129.0,0
2024-03-20,138.0,0
2024-03-21,142.0,0
2024-03-22,147.0,0
2024-03-23,168.0,0
2024-03-24,154.0,0
2024-03-25,135.0,0
2024-03-26,141.0,0
2024-03-27,137.0,0
2024-03-28,144.0,0
2024-03-29,175.0,1
2024-03-30,170.0,0
2024-03-31,154.0,0
2024-04-01,132.0,0
2024-04-02,122.0,0
2024-04-03,125.0,0
2024-04-04,140.0,0
2024-04-05,134.0,0
2024-04-06,157.0,0
2024-04-07,168.0,0
2024-04-08,142.0,0
2024-04-09,144.0,0
2024-04-10,125.0,0
2024-04-11,119.0,0
2024-04-12,151.0,0
2024-04-13,151.0,0
2024-04-14,156.0,0
2024-04-15,138.0,0
2024-04-16,127.0,0
2024-04-17,140.0,0
2024-04-18,143.0,0
2024-04-19,145.0,0
2024-04-20,189.0,1
2024-04-21,156.0,0
2024-04-22,131.0,0
2024-04-23,132.0,0
2024-04-24,131.0,0
2024-04-25,129.0,0
2024-04-26,148.0,0
2024-04-27,151.0,0
2024-04-28,183.0,1
2024-04-29,124.0,0
2024-04-30,137.0,0
2024-05-01,136.0,0
2024-05-02,169.0,1
2024-05-03,161.0,0
2024-05-04,166.0,0
2024-05-05,151.0,0
2024-05-06,155.0,0
2024-05-07,129.0,0
2024-05-08,168.0,1
2024-05-09,141.0,0
2024-05-10,169.0,1
2024-05-11,170.0,0
2024-05-12,160.0,0
2024-05-13,143.0,0
2024-05-14,132.0,0
2024-05-15,142.0,0
2024-05-16,132.0,0
2024-05-17,135.0,0
2024-05-18,171.0,0
2024-05-19,157.0,0
2024-05-20,142.0,0
2024-05-21,149.0,0
2024-05-22,143.0,0
2024-05-23,143.0,0
2024-05-24,154.0,0
2024-05-25,160.0,0
2024-05-26,165.0,0
2024-05-27,105.0,0
2024-05-28,144.0,0
2024-05-29,137.0,0
2024-05-30,119.0,0
2024-05-31,153.0,0
2024-06-01,167.0,0
2024-06-02,161.0,0
2024-06-03,150.0,0
2024-06-04,143.0,0
2024-06-05,141.0,0
2024-06-06,134.0,0
2024-06-07,143.0,0
2024-06-08,171.0,0
2024-06-09,166.0,0
2024-06-10,149.0,0
2024-06-11,145.0,0
2024-06-12,145.0,0
2024-06-13,146.0,0
2024-06-14,155.0,0
2024-06-15,173.0,0
2024-06-16,173.0,0
2024-06-17,147.0,0
2024-06-18,151.0,0
2024-06-19,104.0,0
2024-06-20,179.0,1
2024-06-21,154.0,0
2024-06-22,176.0,0
2024-06-23,176.0,0
2024-06-24,147.0,0
2024-06-25,150.0,0
2024-06-26,148.0,0
2024-06-27,147.0,0
2024-06-28,156.0,0
2024-06-29,168.0,0
2024-06-30,167.0,0
2024-07-01,147.0,0
2024-07-02,149.0,0
2024-07-03,148.0,0
2024-07-04,106.0,0
2024-07-05,165.0,0
2024-07-06,179.0,0
2024-07-07,172.0,0
2024-07-08,155.0,0
2024-07-09,149.0,0
2024-07-10,153.0,0
2024-07-11,156.0,0
2024-07-12,176.0,0
2024-07-13,193.0,0
2024-07-14,189.0,0
2024-07-15,175.0,0
2024-07-16,151.0,0
2024-07-17,161.0,0
2024-07-18,165.0,0
2024-07-19,172.0,0
2024-07-20,199.0,0
2024-07-21,198.0,0
2024-07-22,171.0,0
2024-07-23,166.0,0
2024-07-24,154.0,0
2024-07-25,157.0,0
2024-07-26,176.0,0
2024-07-27,189.0,0
2024-07-28,208.0,1
2024-07-29,198.0,1
2024-07-30,167.0,0
2024-07-31,169.0,0
2024-08-01,166.0,0
2024-08-02,174.0,0
2024-08-03,193.0,0
2024-08-04,190.0,0
2024-08-05,165.0,0
2024-08-06,173.0,0
2024-08-07,180.0,0
2024-08-08,205.0,1
2024-08-09,170.0,0
2024-08-10,196.0,0
2024-08-11,182.0,0
2024-08-12,164.0,0
2024-08-13,175.0,0
2024-08-14,170.0,0
2024-08-15,169.0,0
2024-08-16,169.0,0
2024-08-17,191.0,0
2024-08-18,196.0,0
2024-08-19,178.0,0
2024-08-20,178.0,0
2024-08-21,181.0,0
2024-08-22,173.0,0
2024-08-23,187.0,0
2024-08-24,200.0,0
2024-08-25,195.0,0
2024-08-26,178.0,0
2024-08-27,182.0,0
2024-08-28,169.0,0
2024-08-29,185.0,0
2024-08-30,195.0,0
2024-08-31,204.0,0
2024-09-01,202.0,0
2024-09-02,129.0,0
2024-09-03,193.0,0
2024-09-04,183.0,0
2024-09-05,181.0,0
2024-09-06,189.0,0
2024-09-07,209.0,0
2024-09-08,198.0,0
2024-09-09,186.0,0
2024-09-10,175.0,0
2024-09-11,182.0,0
2024-09-12,208.0,1
2024-09-13,196.0,0
2024-09-14,207.0,0
2024-09-15,236.0,1
2024-09-16,204.0,0
2024-09-17,187.0,0
2024-09-18,183.0,0
2024-09-19,184.0,0
2024-09-20,186.0,0
2024-09-21,246.0,1
2024-09-22,215.0,0
2024-09-23,188.0,0
2024-09-24,194.0,0
2024-09-25,212.0,1
2024-09-26,175.0,0
2024-09-27,190.0,0
2024-09-28,205.0,0
2024-09-29,205.0,0
2024-09-30,193.0,0
2024-10-01,180.0,0
2024-10-02,183.0,0
2024-10-03,188.0,0
2024-10-04,190.0,0
2024-10-05,206.0,0
2024-10-06,209.0,0
2024-10-07,195.0,0
2024-10-08,183.0,0
2024-10-09,180.0,0
2024-10-10,187.0,0
2024-10-11,197.0,0
2024-10-12,209.0,0
2024-10-13,207.0,0
2024-10-14,144.0,0
2024-10-15,180.0,0
2024-10-16,184.0,0
2024-10-17,184.0,0
2024-10-18,205.0,0
2024-10-19,210.0,0
2024-10-20,212.0,0
2024-10-21,193.0,0
2024-10-22,180.0,0
2024-10-23,177.0,0
2024-10-24,185.0,0
2024-10-25,200.0,0
2024-10-26,209.0,0
2024-10-27,205.0,0
2024-10-28,173.0,0
2024-10-29,184.0,0
2024-10-30,186.0,0
2024-10-31,190.0,0
2024-11-01,198.0,0
2024-11-02,210.0,0
2024-11-03,207.0,0
2024-11-04,195.0,0
2024-11-05,185.0,0
2024-11-06,170.0,0
2024-11-07,193.0,0
2024-11-08,188.0,0
2024-11-09,220.0,0
2024-11-10,218.0,0
2024-11-11,149.0,0
2024-11-12,191.0,0
2024-11-13,194.0,0
2024-11-14,179.0,0
2024-11-15,195.0,0
2024-11-16,212.0,0
2024-11-17,200.0,0
2024-11-18,200.0,0
2024-11-19,180.0,0
2024-11-20,177.0,0
2024-11-21,186.0,0
2024-11-22,198.0,0
2024-11-23,205.0,0
2024-11-24,201.0,0
2024-11-25,190.0,0
2024-11-26,174.0,0
2024-11-27,175.0,0
2024-11-28,133.0,0
2024-11-29,188.0,0
2024-11-30,206.0,0
2024-12-01,214.0,0
2024-12-02,190.0,0
2024-12-03,211.0,1
2024-12-04,207.0,1
2024-12-05,186.0,0
2024-12-06,191.0,0
2024-12-07,211.0,0
2024-12-08,209.0,0
2024-12-09,177.0,0
2024-12-10,165.0,0
2024-12-11,176.0,0
2024-12-12,209.0,1
2024-12-13,188.0,0
2024-12-14,199.0,0
2024-12-15,197.0,0
2024-12-16,184.0,0
2024-12-17,180.0,0
2024-12-18,182.0,0
2024-12-19,163.0,0
2024-12-20,174.0,0
2024-12-21,209.0,0
2024-12-22,200.0,0
2024-12-23,183.0,0
2024-12-24,172.0,0
2024-12-25,123.0,0
2024-12-26,175.0,0
2024-12-27,176.0,0
2024-12-28,189.0,0
2024-12-29,187.0,0
2024-12-30,176.0,0
2024-12-31,175.0,0
2025-01-01,133.0,0
2025-01-02,173.0,0
2025-01-03,181.0,0
2025-01-04,205.0,0
2025-01-05,186.0,0
2025-01-06,167.0,0
2025-01-07,165.0,0
2025-01-08,165.0,0
2025-01-09,180.0,0
2025-01-10,174.0,0
2025-01-11,200.0,0
2025-01-12,185.0,0
2025-01-13,172.0,0
2025-01-14,169.0,0
2025-01-15,166.0,0
2025-01-16,170.0,0
2025-01-17,169.0,0
2025-01-18,198.0,0
2025-01-19,191.0,0
2025-01-20,147.0,1
2025-01-21,165.0,0
2025-01-22,153.0,0
2025-01-23,163.0,0
2025-01-24,163.0,0
2025-01-25,191.0,0
2025-01-26,200.0,0
2025-01-27,173.0,0
2025-01-28,164.0,0
2025-01-29,152.0,0
2025-01-30,162.0,0
2025-01-31,174.0,0
2025-02-01,183.0,0
2025-02-02,180.0,0
2025-02-03,151.0,0
2025-02-04,152.0,0
2025-02-05,143.0,0
2025-02-06,168.0,0
2025-02-07,167.0,0
