timestamp,target
2023-01-02,0
2023-01-09,0
2023-01-16,0
2023-01-23,0
2023-01-30,0
2023-02-06,0
2023-02-13,0
2023-02-20,0
2023-02-27,0
2023-03-06,10
2023-03-13,0
2023-03-20,0
2023-03-27,3
2023-04-03,8
2023-04-10,5
2023-04-17,0
2023-04-24,4
2023-05-01,0
2023-05-08,7
2023-05-15,2
2023-05-22,5
2023-05-29,6
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,0
2023-08-07,0
2023-08-14,5
2023-08-21,4
2023-08-28,0
2023-09-04,0
2023-09-11,0
2023-09-18,0
2023-09-25,12
2023-10-02,0
2023-10-09,6
2023-10-16,0
2023-10-23,0
2023-10-30,0
2023-11-06,3
2023-11-13,6
2023-11-20,6
2023-11-27,0
2023-12-04,8
2023-12-11,0
2023-12-18,0
2023-12-25,11
2024-01-01,5
2024-01-08,0
2024-01-15,0
2024-01-22,0
2024-01-29,0
2024-02-05,0
2024-02-12,10
2024-02-19,0
2024-02-26,2
2024-03-04,0
2024-03-11,13
2024-03-18,0
2024-03-25,5
2024-04-01,6
2024-04-08,0
2024-04-15,0
2024-04-22,0
2024-04-29,0
2024-05-06,0
2024-05-13,0
2024-05-20,0
2024-05-27,6
2024-06-03,0
2024-06-10,2
2024-06-17,0
2024-06-24,0
2024-07-01,0
2024-07-08,6
2024-07-15,0
2024-07-22,0
2024-07-29,0
2024-08-05,0
2024-08-12,8
2024-08-19,0
2024-08-26,6
2024-09-02,0
2024-09-09,8
2024-09-16,4
2024-09-23,0
2024-09-30,0
2024-10-07,0
2024-10-14,3
2024-10-21,9
2024-10-28,9
2024-11-04,0
2024-11-11,6
2024-11-18,7
2024-11-25,7
2024-12-02,7
2024-12-09,0
2024-12-16,0
2024-12-23,0
2024-12-30,0
2025-01-06,10
2025-01-13,0
2025-01-20,0
2025-01-27,0
2025-02-03,0
2025-02-10,0
2025-02-17,0
2025-02-24,4
2025-03-03,0
2025-03-10,8
2025-03-17,5
2025-03-24,0
2025-03-31,0
2025-04-07,11
2025-04-14,3
2025-04-21,0
2025-04-28,6
2025-05-05,0
2025-05-12,6
2025-05-19,0
2025-05-26,0
2025-06-02,0
2025-06-09,3
2025-06-16,5
2025-06-23,4
2025-06-30,7
2025-07-07,6
2025-07-14,0
2025-07-21,0
2025-07-28,9
2025-08-04,5
2025-08-11,4
2025-08-18,0
2025-08-25,10
2025-09-01,6
2025-09-08,0
2025-09-15,9
2025-09-22,0
2025-09-29,3
